DEBUG 	2017-07-13 15:18:41 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:18:41 - DBGetter::getColumns (appel par checkEmplacementAndInsert) sql:SELECT `code_emplacement` FROM ref_emplacement  WHERE 1=1 AND code_emplacement="1598" ORDER BY code_emplacement
DEBUG 	2017-07-13 15:18:41 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:18:41 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:18:41 - DBGetter::getColumns (appel par checkEmplacementAndProduitType) sql:SELECT `id_mouvement` FROM wrk_mouvement  WHERE 1=1 AND code_emplacement="1598" AND ref_produit="sdhshds454545sds" AND type="prise" AND heure_prise > "2017-06-13" ORDER BY code_emplacement
DEBUG 	2017-07-13 15:18:41 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:18:41 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:18:41 - DBGetter::getColumns (appel par checkUser) sql:SELECT `id` FROM sf_guard_user  WHERE 1=1 AND id="32" ORDER BY id
DEBUG 	2017-07-13 15:18:41 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:18:41 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:18:41 - DBGetter::getColumns (appel par checkEmplacementAndInsert) sql:SELECT `code_emplacement` FROM ref_emplacement  WHERE 1=1 AND code_emplacement="1598" ORDER BY code_emplacement
DEBUG 	2017-07-13 15:18:41 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:18:41 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:18:41 - DBGetter::getColumns (appel par checkEmplacementAndProduitType) sql:SELECT `id_mouvement` FROM wrk_mouvement  WHERE 1=1 AND code_emplacement="1598" AND ref_produit="qwerty" AND type="depose" AND heure_prise > "2017-06-13" ORDER BY code_emplacement
DEBUG 	2017-07-13 15:18:41 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:18:41 - Début de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:18:41 - Fin de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:18:41 - Début de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:18:41 - Fin de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:19:50 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:50 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:50 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:50 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:50 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:50 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:50 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:50 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:50 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:50 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:50 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:50 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:50 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:50 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:50 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:50 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:50 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
